"","SACRIFICE_PERIOD","rDOSE_LEVEL","compound_sutherland","toxclass","toxlabel","time_index","toxact","COMPOUND_NAME","compound_tggates","chembl_id","compound_chembl"
"533","3 hr","rLow","NIMESULIDE","Infiltration\Inflammation:Inflammation","Inflammation",1,"toxact_null","nimesulide","nimesulide","CHEMBL56367","NIMESULIDE"
"534","3 hr","rLow","SULFASALAZINE","Infiltration\Inflammation:Inflammation","Inflammation",1,"toxact_null","sulfasalazine","sulfasalazine","CHEMBL421","SULFASALAZINE"
"535","3 hr","rMiddle","TERBINAFINE","Infiltration\Inflammation:Inflammation","Inflammation",1,"toxact_null","terbinafine","terbinafine","CHEMBL822","TERBINAFINE"
"536","3 hr","rHigh","3-METHYLCHOLANTHRENE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","3-methylcholanthrene","3-methylcholanthrene","CHEMBL40583","3-METHYLCHOLANTHRENE"
"537","3 hr","rLow","3-METHYLCHOLANTHRENE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","3-methylcholanthrene","3-methylcholanthrene","CHEMBL40583","3-METHYLCHOLANTHRENE"
"538","3 hr","rMiddle","3-METHYLCHOLANTHRENE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","3-methylcholanthrene","3-methylcholanthrene","CHEMBL40583","3-METHYLCHOLANTHRENE"
"539","3 hr","rLow","BENDAZAC","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","bendazac","bendazac","CHEMBL1089221","BENDAZAC"
"540","3 hr","rMiddle","BENDAZAC","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","bendazac","bendazac","CHEMBL1089221","BENDAZAC"
"541","3 hr","rHigh","COLCHICINE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","colchicine","colchicine","CHEMBL107","COLCHICINE"
"542","3 hr","rLow","COLCHICINE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","colchicine","colchicine","CHEMBL107","COLCHICINE"
"543","3 hr","rMiddle","COLCHICINE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","colchicine","colchicine","CHEMBL107","COLCHICINE"
"544","3 hr","rHigh","COUMARIN","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","coumarin","coumarin","CHEMBL6466","COUMARIN"
"545","3 hr","rLow","COUMARIN","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","coumarin","coumarin","CHEMBL6466","COUMARIN"
"546","3 hr","rMiddle","COUMARIN","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","coumarin","coumarin","CHEMBL6466","COUMARIN"
"547","3 hr","rHigh","DIETHYL MALEATE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","diethyl_maleate","diethyl maleate","CHEMBL2037000","DIETHYL MALEATE"
"548","3 hr","rHigh","NIFEDIPINE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","nifedipine","nifedipine","CHEMBL193","NIFEDIPINE"
"549","3 hr","rMiddle","NIFEDIPINE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","nifedipine","nifedipine","CHEMBL193","NIFEDIPINE"
"550","3 hr","rHigh","NIMESULIDE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_null","nimesulide","nimesulide","CHEMBL56367","NIMESULIDE"
"551","3 hr","rHigh","DIETHYL MALEATE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",1,"toxact_null","diethyl_maleate","diethyl maleate","CHEMBL2037000","DIETHYL MALEATE"
"552","3 hr","rMiddle","DIETHYL MALEATE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",1,"toxact_null","diethyl_maleate","diethyl maleate","CHEMBL2037000","DIETHYL MALEATE"
"553","3 hr","rHigh","PHORONE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",1,"toxact_null","phorone","phorone","CHEMBL2766015","PHORONE"
"554","6 hr","rHigh","BORTEZOMIB","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_null","bortezomib","bortezomib","CHEMBL325041","BORTEZOMIB"
"555","6 hr","rMiddle","BORTEZOMIB","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_null","bortezomib","bortezomib","CHEMBL325041","BORTEZOMIB"
"556","6 hr","rLow","GALACTOSAMINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_null","galactosamine","galactosamine","CHEMBL606759","GLUCOSAMINE"
"557","6 hr","rLow","LIPOPOLYSACCHARIDE E. COLI O55:B5","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_null","LPS","lps","CHEMBL1234081",""
"558","6 hr","rHigh","PHALLOIDIN","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_null","phalloidin","phalloidin","CHEMBL502682","PHALLOIDIN"
"559","6 hr","rHigh","PHORONE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_null","phorone","phorone","CHEMBL2766015","PHORONE"
"560","6 hr","rHigh","THIOACETAMIDE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_null","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"561","6 hr","rMiddle","THIOACETAMIDE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_null","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"562","6 hr","rHigh","ACARBOSE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","acarbose","acarbose","CHEMBL1566","ACARBOSE"
"563","6 hr","rLow","ACARBOSE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","acarbose","acarbose","CHEMBL1566","ACARBOSE"
"564","6 hr","rLow","ALLOPURINOL","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","allopurinol","allopurinol","CHEMBL1467","ALLOPURINOL"
"565","6 hr","rMiddle","CARBON TETRACHLORIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","carbon_tetrachloride","carbon tetrachloride","CHEMBL44814","CARBON TETRACHLORIDE"
"566","6 hr","rHigh","CHLORAMPHENICOL","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","chloramphenicol","chloramphenicol","CHEMBL130","CHLORAMPHENICOL"
"567","6 hr","rHigh","CIPROFLOXACIN","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","ciprofloxacin","ciprofloxacin","CHEMBL8","CIPROFLOXACIN"
"568","6 hr","rLow","ETHINYLESTRADIOL","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","ethinylestradiol","ethinylestradiol","CHEMBL691","ETHINYL ESTRADIOL"
"569","6 hr","rMiddle","GEMFIBROZIL","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","gemfibrozil","gemfibrozil","CHEMBL457","GEMFIBROZIL"
"570","6 hr","rHigh","GRISEOFULVIN","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","griseofulvin","griseofulvin","CHEMBL562","GRISEOFULVIN"
"571","6 hr","rLow","LIPOPOLYSACCHARIDE E. COLI O55:B5","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","LPS","lps","CHEMBL1234081",""
"572","6 hr","rLow","NITROFURAZONE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","nitrofurazone","nitrofurazone","CHEMBL869","NITROFURAZONE"
"573","6 hr","rHigh","OMEPRAZOLE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","omeprazole","omeprazole","CHEMBL1503","OMEPRAZOLE"
"574","6 hr","rLow","OMEPRAZOLE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","omeprazole","omeprazole","CHEMBL1503","OMEPRAZOLE"
"575","6 hr","rHigh","PIRINIXIC ACID","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","WY-14643","wy-14643","CHEMBL295416","PIRINIXIC ACID"
"576","6 hr","rLow","PIRINIXIC ACID","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","WY-14643","wy-14643","CHEMBL295416","PIRINIXIC ACID"
"577","6 hr","rMiddle","PIRINIXIC ACID","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_null","WY-14643","wy-14643","CHEMBL295416","PIRINIXIC ACID"
"578","6 hr","rHigh","BROMOETHYLAMINE","Glycogen_Increased:Hepatocellular","Increased Hepatocellular Glycogen",2,"toxact_null","bromoethylamine","bromoethylamine","CHEMBL1697693","BROMOETHANAMINE"
"579","6 hr","rHigh","CHLORMADINONE ACETATE","Glycogen_Increased:Hepatocellular","Increased Hepatocellular Glycogen",2,"toxact_null","chlormadinone","chlormadinone","CHEMBL1697830","CHLORMADINONE"
"580","6 hr","rLow","CHLORMADINONE ACETATE","Glycogen_Increased:Hepatocellular","Increased Hepatocellular Glycogen",2,"toxact_null","chlormadinone","chlormadinone","CHEMBL1697830","CHLORMADINONE"
"581","6 hr","rMiddle","CHLORMADINONE ACETATE","Glycogen_Increased:Hepatocellular","Increased Hepatocellular Glycogen",2,"toxact_null","chlormadinone","chlormadinone","CHEMBL1697830","CHLORMADINONE"
"582","6 hr","rHigh","BORTEZOMIB","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",2,"toxact_null","bortezomib","bortezomib","CHEMBL325041","BORTEZOMIB"
"583","6 hr","rLow","AJMALINE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","ajmaline","ajmaline","CHEMBL2105617","AJMALINE"
"584","6 hr","rLow","BENDAZAC","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","bendazac","bendazac","CHEMBL1089221","BENDAZAC"
"585","6 hr","rHigh","CARBAMAZEPINE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","carbamazepine","carbamazepine","CHEMBL108","CARBAMAZEPINE"
"586","6 hr","rLow","CARBAMAZEPINE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","carbamazepine","carbamazepine","CHEMBL108","CARBAMAZEPINE"
"587","6 hr","rHigh","CARBON TETRACHLORIDE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","carbon_tetrachloride","carbon tetrachloride","CHEMBL44814","CARBON TETRACHLORIDE"
"588","6 hr","rLow","CIPROFLOXACIN","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","ciprofloxacin","ciprofloxacin","CHEMBL8","CIPROFLOXACIN"
"589","6 hr","rMiddle","DESMOPRESSIN ACETATE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","desmopressin_acetate","desmopressin acetate","CHEMBL1200556","DESMOPRESSIN ACETATE"
"590","6 hr","rHigh","ETHANOL","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","ethanol","ethanol","CHEMBL545","ALCOHOL"
"591","6 hr","rLow","ETHIONAMIDE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"592","6 hr","rMiddle","ETHIONAMIDE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"593","6 hr","rMiddle","FLUOXETINE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","fluoxetine_hydrochloride","fluoxetine hydrochloride","CHEMBL1201082","FLUOXETINE HYDROCHLORIDE"
"594","6 hr","rHigh","GALACTOSAMINE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","galactosamine","galactosamine","CHEMBL606759","GLUCOSAMINE"
"595","6 hr","rLow","GALACTOSAMINE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","galactosamine","galactosamine","CHEMBL606759","GLUCOSAMINE"
"596","6 hr","rMiddle","GALACTOSAMINE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","galactosamine","galactosamine","CHEMBL606759","GLUCOSAMINE"
"597","6 hr","rMiddle","GLYBURIDE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","glibenclamide","glibenclamide","CHEMBL472","GLYBURIDE"
"598","6 hr","rHigh","HEXACHLOROBENZENE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","hexachlorobenzene","hexachlorobenzene","CHEMBL228514","PERCHLOROBENZENE"
"599","6 hr","rHigh","NIMESULIDE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","nimesulide","nimesulide","CHEMBL56367","NIMESULIDE"
"600","6 hr","rMiddle","NIMESULIDE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","nimesulide","nimesulide","CHEMBL56367","NIMESULIDE"
"601","6 hr","rMiddle","SULFASALAZINE","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","sulfasalazine","sulfasalazine","CHEMBL421","SULFASALAZINE"
"602","6 hr","rLow","VALPROIC ACID","Infiltration\Inflammation:Inflammation","Inflammation",2,"toxact_null","valproic_acid","valproic acid","CHEMBL109","VALPROIC ACID"
"603","6 hr","rHigh","PHORONE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",2,"toxact_null","phorone","phorone","CHEMBL2766015","PHORONE"
"604","6 hr","rLow","CYCLOHEXIMIDE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",2,"toxact_null","cycloheximide","cycloheximide","CHEMBL123292","CYCLOHEXIMIDE"
"605","9 hr","rLow","COLCHICINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",3,"toxact_null","colchicine","colchicine","CHEMBL107","COLCHICINE"
"606","9 hr","rHigh","COUMARIN","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",3,"toxact_null","coumarin","coumarin","CHEMBL6466","COUMARIN"
"607","9 hr","rMiddle","COUMARIN","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",3,"toxact_null","coumarin","coumarin","CHEMBL6466","COUMARIN"
"608","9 hr","rHigh","N-NITROSODIETHYLAMINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",3,"toxact_null","nitrosodiethylamine","nitrosodiethylamine","CHEMBL164290","N-NITROSODIETHYLAMINE"
"609","9 hr","rHigh","TUNICAMYCIN","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",3,"toxact_null","tunicamycin","tunicamycin","CHEMBL505513","TUNICAMYCIN"
"610","9 hr","rHigh","1-NAPHTHYL ISOTHIOCYANATE","Congestion\Hemorrhage\Edema:Vascular","Vascular Edema",3,"toxact_null","naphthyl_isothiocyanate","naphthyl isothiocyanate","CHEMBL1381098","1-NAPHTHYLISOTHIOCYANATE"
"611","9 hr","rMiddle","AMPHOTERICIN B","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",3,"toxact_null","amphotericin_B","amphotericin b","CHEMBL267345","AMPHOTERICIN B"
"612","9 hr","rHigh","CHLORMEZANONE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",3,"toxact_null","chlormezanone","chlormezanone","CHEMBL1200714","CHLORMEZANONE"
"613","9 hr","rMiddle","FLUTAMIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",3,"toxact_null","flutamide","flutamide","CHEMBL806","FLUTAMIDE"
"614","9 hr","rLow","GLYBURIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",3,"toxact_null","glibenclamide","glibenclamide","CHEMBL472","GLYBURIDE"
"615","9 hr","rLow","INDOMETHACIN","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",3,"toxact_null","indomethacin","indomethacin","CHEMBL6","INDOMETHACIN"
"616","9 hr","rLow","METHYLDOPA","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",3,"toxact_null","methyldopa","methyldopa","CHEMBL459","METHYLDOPA"
"617","9 hr","rHigh","4,4'-METHYLENEDIANILINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",3,"toxact_null","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"618","9 hr","rHigh","PHALLOIDIN","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",3,"toxact_null","phalloidin","phalloidin","CHEMBL502682","PHALLOIDIN"
"619","9 hr","rHigh","PHENYLANTHRANILIC ACID","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",3,"toxact_null","phenylanthranilic_acid","phenylanthranilic acid","CHEMBL23832","FENAMIC ACID "
"620","9 hr","rHigh","PHORONE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",3,"toxact_null","phorone","phorone","CHEMBL2766015","PHORONE"
"621","9 hr","rLow","4,4'-METHYLENEDIANILINE","Dilation\Dilatation\Ectasia\Distension:Vascular","Vascular Distension",3,"toxact_null","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"622","9 hr","rHigh","BROMOBENZENE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",3,"toxact_null","bromobenzene","bromobenzene","CHEMBL16068","BROMOBENZENE"
"623","9 hr","rHigh","ETHIONAMIDE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",3,"toxact_null","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"624","9 hr","rMiddle","AJMALINE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","ajmaline","ajmaline","CHEMBL2105617","AJMALINE"
"625","9 hr","rHigh","ALLYL ALCOHOL","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","allyl_alcohol","allyl alcohol","CHEMBL234926","ALLYL ALCOHOL"
"626","9 hr","rHigh","BUTHIONINE SULFOXIMINE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","buthionine_sulfoximine","buthionine sulfoximine","CHEMBL1609891","BUTHIONINE SULFOXIMINE"
"627","9 hr","rHigh","CIMETIDINE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","cimetidine","cimetidine","CHEMBL30","CIMETIDINE"
"628","9 hr","rMiddle","CIMETIDINE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","cimetidine","cimetidine","CHEMBL30","CIMETIDINE"
"629","9 hr","rLow","COLCHICINE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","colchicine","colchicine","CHEMBL107","COLCHICINE"
"630","9 hr","rHigh","ETHIONAMIDE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"631","9 hr","rHigh","ETHIONINE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","ethionine","ethionine","CHEMBL203187","ETHIONINE"
"632","9 hr","rLow","ETHIONINE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","ethionine","ethionine","CHEMBL203187","ETHIONINE"
"633","9 hr","rHigh","LORNOXICAM","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","lornoxicam","lornoxicam","CHEMBL1569487","LORNOXICAM"
"634","9 hr","rHigh","METHAPYRILENE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","methapyrilene","methapyrilene","CHEMBL1411979","METHAPYRILENE"
"635","9 hr","rHigh","1-NAPHTHYL ISOTHIOCYANATE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","naphthyl_isothiocyanate","naphthyl isothiocyanate","CHEMBL1381098","1-NAPHTHYLISOTHIOCYANATE"
"636","9 hr","rHigh","THIOACETAMIDE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"637","9 hr","rMiddle","THIOACETAMIDE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_null","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"638","9 hr","rHigh","BENDAZAC","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","bendazac","bendazac","CHEMBL1089221","BENDAZAC"
"639","9 hr","rMiddle","BENDAZAC","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","bendazac","bendazac","CHEMBL1089221","BENDAZAC"
"640","9 hr","rHigh","BORTEZOMIB","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","bortezomib","bortezomib","CHEMBL325041","BORTEZOMIB"
"641","9 hr","rHigh","DEXAMETHASONE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","dexamethasone","dexamethasone","CHEMBL384467","DEXAMETHASONE"
"642","9 hr","rMiddle","DEXAMETHASONE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","dexamethasone","dexamethasone","CHEMBL384467","DEXAMETHASONE"
"643","9 hr","rHigh","ENALAPRIL","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","enalapril","enalapril","CHEMBL578","ENALAPRIL"
"644","9 hr","rLow","LOMUSTINE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","lomustine","lomustine","CHEMBL514","LOMUSTINE"
"645","9 hr","rMiddle","LOMUSTINE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","lomustine","lomustine","CHEMBL514","LOMUSTINE"
"646","9 hr","rHigh","PHENYLBUTAZONE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","phenylbutazone","phenylbutazone","CHEMBL101","PHENYLBUTAZONE"
"647","9 hr","rLow","PHENYLBUTAZONE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","phenylbutazone","phenylbutazone","CHEMBL101","PHENYLBUTAZONE"
"648","9 hr","rMiddle","PHENYLBUTAZONE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","phenylbutazone","phenylbutazone","CHEMBL101","PHENYLBUTAZONE"
"649","9 hr","rLow","PHORONE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","phorone","phorone","CHEMBL2766015","PHORONE"
"650","9 hr","rHigh","RIFAMPIN","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","rifampicin","rifampicin","CHEMBL374478","RIFAMPIN"
"651","9 hr","rHigh","TETRACYCLINE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_null","tetracycline","tetracycline","CHEMBL1440","TETRACYCLINE"
"652","24 hr","rHigh","AFLATOXIN B1","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_null","aflatoxin_B1","aflatoxin b1","CHEMBL1697694","AFLATOXIN"
"653","24 hr","rLow","AFLATOXIN B1","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_null","aflatoxin_B1","aflatoxin b1","CHEMBL1697694","AFLATOXIN"
"654","24 hr","rMiddle","AFLATOXIN B1","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_null","aflatoxin_B1","aflatoxin b1","CHEMBL1697694","AFLATOXIN"
"655","24 hr","rMiddle","GEFITINIB","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_null","gefitinib","gefitinib","CHEMBL939","GEFITINIB"
"656","24 hr","rHigh","4,4'-METHYLENEDIANILINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_null","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"657","24 hr","rMiddle","N-NITROSODIETHYLAMINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_null","nitrosodiethylamine","nitrosodiethylamine","CHEMBL164290","N-NITROSODIETHYLAMINE"
"658","24 hr","rHigh","N-NITROSOMORPHOLINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_null","N-nitrosomorpholine","n-nitrosomorpholine","CHEMBL165908","N-NITROSOMORPHOLINE"
"659","24 hr","rLow","N-NITROSOMORPHOLINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_null","N-nitrosomorpholine","n-nitrosomorpholine","CHEMBL165908","N-NITROSOMORPHOLINE"
"660","24 hr","rMiddle","N-NITROSOMORPHOLINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_null","N-nitrosomorpholine","n-nitrosomorpholine","CHEMBL165908","N-NITROSOMORPHOLINE"
"661","24 hr","rMiddle","1-NAPHTHYL ISOTHIOCYANATE","Congestion\Hemorrhage\Edema:Vascular","Vascular Edema",4,"toxact_null","naphthyl_isothiocyanate","naphthyl isothiocyanate","CHEMBL1381098","1-NAPHTHYLISOTHIOCYANATE"
"662","24 hr","rHigh","AMIODARONE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_null","amiodarone","amiodarone","CHEMBL633","AMIODARONE"
"663","24 hr","rMiddle","AMITRIPTYLINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_null","amitriptyline","amitriptyline","CHEMBL629","AMITRIPTYLINE"
"664","24 hr","rHigh","ASPIRIN","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_null","aspirin","aspirin","CHEMBL25","ASPIRIN"
"665","24 hr","rHigh","BORTEZOMIB","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_null","bortezomib","bortezomib","CHEMBL325041","BORTEZOMIB"
"666","24 hr","rHigh","BROMOBENZENE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_null","bromobenzene","bromobenzene","CHEMBL16068","BROMOBENZENE"
"667","24 hr","rMiddle","CHLORMEZANONE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_null","chlormezanone","chlormezanone","CHEMBL1200714","CHLORMEZANONE"
"668","24 hr","rMiddle","CHLORPROMAZINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_null","chlorpromazine","chlorpromazine","CHEMBL71","CHLORPROMAZINE"
"669","24 hr","rMiddle","DANTROLENE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_null","dantrolene","dantrolene","CHEMBL1201288","DANTROLENE"
"670","24 hr","rHigh","DILTIAZEM","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_null","diltiazem","diltiazem","CHEMBL23","DILTIAZEM"
